Nombre;Ventas anual;rama
BLUE CARGO ECUADOR S.A. BLUCARSA;65570994.92;Transporte y almacenamiento
CONCESIONARIA NORTE CONORTE S.A.;63428578.53;Construcción
J.PATIÑOCORP S.A.;62612364;Agricultura, ganadería y pesca
SERVIENTREGA ECUADOR S.A.;62545255.24;Transporte y almacenamiento
FRESKBANA S.A.;61993733.44;Agricultura, ganadería y pesca
TRANSPORTES NOROCCIDENTAL CIA. LTDA.;61301772.25;Transporte y almacenamiento
SHEMLON S.A.;60668370.74;Actividades de Alojamiento
SERVICIOS INTEGRADOS PAÑATURI S.A.;59668392.56;Minas y canteras
LAFATTORIA S.A.;59213184.36;Actividades de Alojamiento
ORODELTI S.A.;58923667.4;Agricultura, ganadería y pesca
FRIGORIFICO Y LABORATORIO SAN MATEO, FRIGOLAB SAN MATEO CIA. LTDA.;58112881.01;Agricultura, ganadería y pesca
TATASOLUTION CENTER S.A.;57206229.58;Información y comunicación
PALMERAS DEL ECUADOR SA;55374175.34;Agricultura, ganadería y pesca
EXORBAN S.A.;54521204.86;Agricultura, ganadería y pesca
TAMPA CARGO S.A.S.;54474874.92;Transporte y almacenamiento
INMOBILIARIA GUANGALA SA;54402324.59;Agricultura, ganadería y pesca
DULCAFE S.A.;54280634.07;Actividades de Alojamiento
TRIBOILGAS CIA. LTDA.;53884107.95;Minas y canteras
DPWORLD POSORJA S.A.;53675876.25;Construcción
GUAYATUNA S.A.;53610601.57;Agricultura, ganadería y pesca
PUERTOMAR S.A.;53529343.13;Agricultura, ganadería y pesca
ETICA EMPRESA TURISTICA INTERNACIONAL CA;52677255.99;Transporte y almacenamiento
PALMERAS DE LOS ANDES SA;51141491.52;Agricultura, ganadería y pesca
BANANO Y FRUTAS TROPICALES DE CALIDAD PARA EL MUNDO FRUTICAL S. A.;51129940.81;Agricultura, ganadería y pesca
LOGISTICA BANANERA S.A. LOGBAN;50115509.71;Transporte y almacenamiento
XPTOURS S.A.;50065415.23;Actividades de servicios administrativos y de apoyo
IBERIA, LINEAS AEREAS DE ESPAÑA, SOCIEDAD ANONIMA OPERADORA;49837733.73;Transporte y almacenamiento
SUPERCINES S.A.;49488517.26;Información y comunicación
HOLDING SOLA & SOLA SOLACCIONES S.A.;48975120.13;Financieras y seguros
INVERSIONES SELECTA INSELESA, HOLDING S.A.;48770558.72;Financieras y seguros
INMOBILIARIA MOTKE S.A.;48227407.32;Actividades inmobiliarias
DENMAR SA;47869849.42;Agricultura, ganadería y pesca
CONFIAMED S.A.;47514050.83;Financieras y seguros
NORLOP THOMPSON ASOCIADOS S.A.;47460733.36;Actividades profesionales
GRUPO DEGFER CIA. LTDA.;47333022.49;Agricultura, ganadería y pesca
PRODUCTORA AVICOLA CEVALLOS PROAVICEA CIA. LTDA.;47051715.82;Agricultura, ganadería y pesca
TRANSFERUNION S.A.;46793160.48;Financieras y seguros
FLORICOLA SAN ISIDRO LABRADOR FLORSANI S.A.S.;46753744.69;Agricultura, ganadería y pesca
ISCA ISLA CAMARONERA CA;46354051.54;Agricultura, ganadería y pesca
OLEODAVILA S.A.;46326377.81;Agricultura, ganadería y pesca
PCR-ECUADOR S.A.;45969564.19;Minas y canteras
SIERRAFERTTIL CIA.LTDA.;45474882.42;Agricultura, ganadería y pesca
CORPORACIÓN HVQ S.A.;44894314.53;Actividades de atención a salud
INTERNATIONAL LABORATORIES SERVICES INTERLAB S.A.;44138545.39;Actividades de atención a salud
NAPORTEC S.A.;44070890.94;Transporte y almacenamiento
SOLETANCHE BACHY INTERNATIONAL;43876584.47;Construcción
DSV-AIR&SEA S.A.;43845412.48;Transporte y almacenamiento
FALCONFARMS DE ECUADOR S.A.;43581067.9;Agricultura, ganadería y pesca
AMBIENSA S.A.;43407182.27;Construcción
DISTRISODA S.A.;43094175;Agricultura, ganadería y pesca
BEST DOCTORS S.A. EMPRESA DE MEDICINA PREPAGADA;42863315.67;Financieras y seguros
GENTE OIL ECUADOR PTE.LTD.;41801306.04;Minas y canteras
PACFISH S.A.;41671449.56;Agricultura, ganadería y pesca
CHRIS ZAHAV & MORE COMERCIALIZADORA CHRIS ZAHAV & MORE CHRISZAHAV&MORE S.A.;41560397.75;Minas y canteras
AXIONLOG ECUADOR S.A.;41500227;Transporte y almacenamiento
ENTRAVISION ECUADOR CISTERACTEC S.A.;41078041.91;Información y comunicación
DHL EXPRESS (ECUADOR) S.A.;41020405.5;Transporte y almacenamiento
ORIONOIL ER S.A.;40491003.54;Minas y canteras
MINUTOCORP S.A.;39856958.34;Construcción
TRANSPORTADORA ECUATORIANA DE VALORES TEVCOL CIA. LTDA.;39741871.63;Actividades de servicios administrativos y de apoyo
GROWFLOWERS PRODUCCIONES S.A.;39610352.05;Agricultura, ganadería y pesca
CONCESIONARIA DEL GUAYAS CONCEGUA S.A.;39237112.65;Construcción
ECUATORIANA DE SAL Y PRODUCTOS QUIMICOS CA (ECUASAL);39198892.42;Minas y canteras
ESCULAPIO S.A.S.;38536757.63;Actividades de atención a salud
INVERSANCARLOS S.A.;38396965.6;Financieras y seguros
CORPIDE CORPORACION PUBLICITARIA INTEGRAL DELTA C LTDA;38165608.19;Actividades profesionales
TECFOOD SERVICIOS DE ALIMENTACION S.A.;37752874.71;Actividades de Alojamiento
HIDROALTO GENERACION DE ENERGIA S.A.;37514360.29;Suministro de Electricidad Gas Vapor y Aire acondicionado
PETRORIVA S.A.;37310317.22;Minas y canteras
HILONG OIL SERVICE & ENGINEERING ECUADOR CIA. LTDA.;37249172.89;Minas y canteras
HOSPITAL DE LOS VALLES S.A. HODEVALLES;37217821.06;Actividades de atención a salud
''CONSORCIO LÍNEA 1'' - METRO DE QUITO: ACCIONA;36895208.82;Construcción
FARLETZA S.A.;36800021.35;Transporte y almacenamiento
SCHRYVER DEL ECUADOR S.A.;36252143;Transporte y almacenamiento
RESTAURANTES UNIDOS RESTAUNSA S.A.;36213587.94;Actividades de Alojamiento
CORCOLDING C.A.;36089346.07;Financieras y seguros
CONSORCIO DEL PICHINCHA S.A. CONDELPI;36055940.5;Actividades de servicios administrativos y de apoyo
CREDI FE DESARROLLO MICROEMPRESARIAL S.A.;35759959.01;Financieras y seguros
INSTALACIONES ELECTROMECANICAS SA INESA;35367635.79;Construcción
PRACTIPOWER S.A.;35160238.08;Distribución de Agua Alcantarillado y gestión de desechos
CPTDC CHINA PETROLEUM TECHNOLOGY & DEVELOPMENT CORPORATION ECUADOR S.A.;34747644.27;Minas y canteras
NAVECUADOR S.A.;34493634.48;Actividades de servicios administrativos y de apoyo
INMOMARIUXI CA;34193083.64;Construcción
TECNOVOLADURAS S.A.;33842356.38;Construcción
PTIE- PHOENIX TOWER INTERNATIONAL ECUADOR S.A.;33393370;Información y comunicación
MARITIME SERVICES LINE DEL ECUADOR MSL DEL ECUADOR S.A.;33343273.19;Transporte y almacenamiento
TD SYNNEX ECUADOR CIA.LTDA.;33342971.4;Información y comunicación
SASETAF S.A.;33116260.52;Financieras y seguros
JETBLUE AIRWAYS CORPORATION;33039435.53;Transporte y almacenamiento
CANAL DE GUAYAQUIL CGU S.A.;33012696.18;Construcción
SERVICIOS DE SEGURIDAD ARMILED CIA. LTDA.;32717851.59;Actividades de servicios administrativos y de apoyo
ASESORIA, SEGURIDAD Y VIGILANCIA ''ASEVIG - LIDERMAN'' CIA. LTDA.;32309214.88;Actividades de servicios administrativos y de apoyo
CIRION TECHNOLOGIES ECUADOR S.A.;32193316;Información y comunicación
INTERHOSPITAL S.A.;32010918.19;Actividades de atención a salud
SOCIEDAD MINERA LIGA DE ORO S.A. SOMILOR;31901805.76;Minas y canteras
RUART ECUADOR S.A.S.;31688870.59;Financieras y seguros
JU-AN METAL-EXPORTER S.A.S.;31598347.79;Minas y canteras
HIDROABANICO S.A.;31535547.4;Actividades profesionales
MOTORES Y TRACTORES MOTRAC S.A.;31474657.49;Actividades de servicios administrativos y de apoyo
CORPORACION CELESTE CIA.LTDA. CORPACEL;31302675.05;Actividades inmobiliarias
UNITED PARCEL SERVICE, CO.;30991858;Transporte y almacenamiento
PROYECTOS INTEGRALES DEL ECUADOR PIL S.A.;30915549.6;Actividades profesionales
PORTRANS S.A.;30796581.71;Transporte y almacenamiento
DISMEDSA CIA.LTDA.;30760004.38;Actividades inmobiliarias
COMPAÑIA DE ALIMENTOS Y SERVICIOS COALSE S.A.;30589933.48;Actividades de Alojamiento
FLANDERS DREDGING CORPORATION NV;29625445.26;Minas y canteras
COMPAÑIA DE SERVICIOS AUXILIARES DEL SISTEMA FINANCIERO INTERDIN S.A.;29439937.35;Financieras y seguros
BINARIA SISTEMAS S.A.;29308734.16;Información y comunicación
MEISTERBLUE CIA.LTDA.;28893809.02;Actividades inmobiliarias
HIDRONORMANDIA S.A.;28610270.04;Suministro de Electricidad Gas Vapor y Aire acondicionado
AMOVECUADOR S.A.;28393097.93;Información y comunicación
MEDITERRANEAN SHIPPING COMPANY DEL ECUADOR COMPANIA ANONIMA (EMESSEA);28295930.7;Transporte y almacenamiento
IBM DEL ECUADOR C.A.;28062750;Información y comunicación
CADENA ECUATORIANA DE TELEVISION CA CANAL 10 CETV;27773180.95;Información y comunicación
ENMARSI S.A.;27737249.94;Actividades de Alojamiento
RITOFA S.A.;27575278.62;Construcción
WAYRAENERGY S.A.;27342240.83;Minas y canteras
''TYAZHMASH'' S.A.;27283297.72;Suministro de Electricidad Gas Vapor y Aire acondicionado
CORPORACION MULTIBG S.A.;27065459.62;Financieras y seguros
MMR GROUP, INC.;27048741.39;Actividades profesionales
AGUAS DE SAMBORONDON AMAGUA C.E.M.;26692761.6;Distribución de Agua Alcantarillado y gestión de desechos
INTERCIA S.A.;26687927.64;Distribución de Agua Alcantarillado y gestión de desechos
FEMAR S.A.;26668562.98;Actividades inmobiliarias
CENTRO DE RADIO Y TELEVISION CRATEL C.A.;26575025.63;Información y comunicación
TEOTON SERVICIOS DE SALUD S.A.S.;26557590.85;Actividades de atención a salud
SUSHICORP S.A.;26526368.75;Actividades de Alojamiento
CHINA CAMC ENGINEERING CO., LTD.;26439882.82;Construcción
MANADIALISIS S.A;26174397.26;Actividades de atención a salud
TALMA ECUADOR SERVICIOS AEROPORTUARIOS S.A.;25715983.99;Actividades de servicios administrativos y de apoyo
DATAFAST S.A.;25413276.37;Financieras y seguros
COMPANIA ANONIMA CLINICA GUAYAQUIL SERVICIOS MEDICOS;25273586.56;Actividades de atención a salud
EXPORTADORA AURIFERA S.A. EXPAUSA;25243312.89;Minas y canteras
INMOBILIARIA LAVIE SA;25213778.15;Actividades inmobiliarias
ANDIPUERTO GUAYAQUIL S.A.;24830387.09;Transporte y almacenamiento
TABOSS S.A.S.;24820148.21;Financieras y seguros
SEPRONAC SEGURIDAD Y PROTECCION NACIONAL CIA. LTDA.;24727536.7;Actividades de servicios administrativos y de apoyo
SERVICIO AEREO REGIONAL REGAIR CIA. LTDA.;24611389.01;Transporte y almacenamiento
RED-DE-SERVICIOS-ECUADOR S.A.S.;24553179.2;Actividades de servicios administrativos y de apoyo
INMOBILIARIA PIEDRA HUASI S.A.;24481076.28;Actividades inmobiliarias
HOTELES DECAMERON ECUADOR S.A.;24392493.54;Actividades de servicios administrativos y de apoyo
NOVAECUADOR S.A AGENCIA ASESORA PRODUCTORA DE SEGUROS;24278853;Financieras y seguros
CEVA FREIGHT MANAGEMENT DE ECUADOR CEVALOGISTICS-ECUADOR CIA.LTDA.;23976842.22;Transporte y almacenamiento
PETROLEOS DEL PACIFICO S.A. PACIFPETROL;23953837.95;Minas y canteras
COCA-COLA DE ECUADOR S.A.;23892361.95;Actividades profesionales
CONSTRUCTORA CIUDADRODRIGO S.A.;23680494.59;Construcción
ROMAN HERMANOS S.A.;23045640.56;Transporte y almacenamiento
CANODROS C.L.;22976674.18;Actividades de servicios administrativos y de apoyo
MULTIQUIP S.A.;22976574.9;Transporte y almacenamiento
OPERADORA DEL PACIFICO S.A. (OPACIF);22903819.09;Transporte y almacenamiento
